,epochs,epsilon,clipping_mode,explanation_type,tpr_01_mean,tpr01_sd,tpr_001_mean,tpr_001_sd,auc_mean,auc_sd
0,9,0.0,nonDP,ixg,0.13318823529411766,0.03520397508225023,0.022476470588235292,0.008929694640175666,0.7171322376470588,0.008376112736854027
1,9,0.0,nonDP,sl,0.13075294117647057,0.03348546862441289,0.01951764705882353,0.007872008137110037,0.7153123194117647,0.009410600703316686
2,9,0.5,BK-MixOpt,ixg,0.010559855028409526,0.0015679921290869384,0.001265578319034774,0.0006907678673704879,0.4993558756690638,0.004273958009475458
3,9,0.5,BK-MixOpt,sl,0.009688646334413856,0.0016491670540285776,0.0013597188990697937,0.0009474372936818326,0.4998102109729801,0.00413418464225264
4,9,1.0,BK-MixOpt,ixg,0.010913125919753356,0.0017811538381747923,0.0012949776922141117,0.0007678173265611835,0.5017706152448951,0.0028138417839613703
5,9,1.0,BK-MixOpt,sl,0.012525946083205484,0.0021642949496816256,0.0013302741485441778,0.0006563604452677861,0.5020108841331378,0.003197985333931807
6,9,2.0,BK-MixOpt,ixg,0.012926320563806735,0.0024909563738107878,0.0011537412005664645,0.0006805977734247648,0.5090047947554747,0.00482664984629371
7,9,2.0,BK-MixOpt,sl,0.011548726676401212,0.0022498608768638352,0.0013244395322545208,0.0009046408427642235,0.51004310810189,0.004474994526492678
8,9,8.0,BK-MixOpt,ixg,0.01532197402311007,0.003060549395153547,0.0016069890690300892,0.0007625008898698772,0.521948801952515,0.004099393459634117
9,9,8.0,BK-MixOpt,sl,0.01535149121613295,0.0034522831498504814,0.001512766620478553,0.0011435220623601044,0.5225988525927169,0.004210813534984939
