,epochs,epsilon,clipping_mode,explanation_type,tpr_01_mean,tpr01_sd,tpr_001_mean,tpr_001_sd
0,50,0.0,nonDP,ixg,0.05696363636363637,0.02409941302166882,0.012136363636363638,0.010269868199615102
1,50,0.0,nonDP,ig,0.025954545454545452,0.0070806219085310755,0.004618181818181817,0.002652894879121565
2,50,0.0,nonDP,sl,0.06684242424242426,0.025824630365544207,0.013854545454545454,0.011427295629301318
3,50,0.0,nonDP,gs,0.014963636363636365,0.003579979531160223,0.0024484848484848487,0.0013989435867329822
4,50,0.5,BK-MixOpt,ixg,0.010330282512511712,0.002142953843982702,0.0006121915027988305,0.00041174722746535955
5,50,0.5,BK-MixOpt,ig,0.010395086762385302,0.0023123563392042556,0.0008711403848795883,0.0005781300823025023
6,50,0.5,BK-MixOpt,sl,0.009829991192535062,0.0018979947332655456,0.0006003838042179758,0.0004755445584879913
7,50,0.5,BK-MixOpt,gs,0.010071205840012993,0.002032701978733051,0.0010712392638560833,0.0006380631151708426
8,50,1.0,BK-MixOpt,ixg,0.01003574856677832,0.002060540882269083,0.001100664554487372,0.0005864219256881347
9,50,1.0,BK-MixOpt,ig,0.011378018302208665,0.002064382489110562,0.001147803467871388,0.000739441156470748
10,50,1.0,BK-MixOpt,sl,0.010306667145653665,0.002039636604880687,0.0008946839266596329,0.0005072201336236526
11,50,1.0,BK-MixOpt,gs,0.011224829240666414,0.002417017635246278,0.000935891017399172,0.0005425589620731319
12,50,2.0,BK-MixOpt,ixg,0.01137810200175291,0.002255424430130236,0.0013596676509350686,0.0007495078218084631
13,50,2.0,BK-MixOpt,ig,0.011578229722906359,0.0019101909379559251,0.0010771699193449318,0.0005210921754329197
14,50,2.0,BK-MixOpt,sl,0.010924852965780291,0.002558830749315707,0.0011065722527394395,0.0006331881986577972
15,50,2.0,BK-MixOpt,gs,0.010554062210306976,0.0015745346038076053,0.001659919043653866,0.000718350727892662
16,50,8.0,BK-MixOpt,ixg,0.013508934825438232,0.002883312443951244,0.0015244712344864172,0.0008541616831583952
17,50,8.0,BK-MixOpt,ig,0.011383831779558293,0.0028244234332422255,0.0013596788405339393,0.0005803924169879606
18,50,8.0,BK-MixOpt,sl,0.012208059414137011,0.0023004406119289207,0.001548086045005445,0.0005318827901558468
19,50,8.0,BK-MixOpt,gs,0.01063042672583544,0.002498953950119779,0.001247848785358186,0.0008041741188203059
