,explanation_type,epochs,tpr_01_mean,tpr01_sd,tpr_01_simple_mean,tpr01_simple_sd,tpr_001_mean,tpr_001_sd,tpr_001_simple_mean,tpr_001_simple_sd,auc_mean,auc_sd,auc_simple_mean,auc_simple_sd
0,ixg,5,0.04161212121212121,0.01563269219288312,0.011245454545454545,0.0020294932804043996,0.006466666666666667,0.0038871713378883896,0.0013030303030303028,0.0006483007385207693,0.5639852263636362,0.021007126965281404,0.5379266506060606,0.008982816410141314
1,ixg,10,0.11097878787878789,0.01424892888214191,0.011606060606060606,0.002279279444080013,0.03564545454545455,0.011345566238766442,0.0012515151515151517,0.0007105785999733798,0.6151958675757576,0.008476864064130063,0.553518927878788,0.004576528440965882
2,ixg,30,0.1438333333333333,0.016731926778986748,0.011136363636363637,0.00198308272139359,0.07315151515151515,0.023631080217581472,0.0012060606060606061,0.0006004742539528557,0.6338499209090909,0.008758126321416768,0.5588387713636364,0.005476213773376496
3,sl,5,0.04434242424242424,0.015363870059784995,0.010612121212121212,0.002086864775534876,0.007366666666666666,0.00392286743197994,0.001190909090909091,0.0007016705764075784,0.564230777878788,0.020930047804869574,0.5376818551515152,0.009188109131824948
4,sl,10,0.11156666666666668,0.014029334347082268,0.011163636363636362,0.0023656401762580403,0.03882424242424242,0.013816240560078482,0.0012000000000000001,0.0005867217604984703,0.6157302593939395,0.008816098025157941,0.5540263528787879,0.004253169526633449
5,sl,30,0.14156363636363636,0.01871197668941858,0.01106969696969697,0.002039976953001846,0.07362424242424243,0.023606702056870134,0.0012787878787878788,0.0005756459221881661,0.6331074475757575,0.009165773888546976,0.5594045053030303,0.005014691469903619
6,ig,5,0.02708787878787879,0.010426794085163404,0.01076969696969697,0.002404728277787496,0.004757575757575757,0.0027736891856886643,0.0012060606060606061,0.0006632972705010765,0.5320089687878788,0.014232450671842681,0.5280745206060606,0.00785399314872801
7,ig,10,0.058893939393939394,0.009119108787992169,0.010963636363636365,0.0022743388225789506,0.015636363636363636,0.0048557256538384,0.001215151515151515,0.0007270201581637831,0.571586423939394,0.00894366064833903,0.5405364587878787,0.004685997757210979
8,ig,30,0.07145454545454545,0.012808687650920485,0.011009090909090908,0.0023115472499400124,0.019563636363636363,0.0062058046230350945,0.001178787878787879,0.0006948981070970157,0.5849810903030302,0.009478999465124014,0.5444853518181818,0.004591598686679611
9,gs,5,0.013512121212121213,0.0036379945837464117,0.01135151515151515,0.002768231161756898,0.0015696969696969696,0.000850840884773962,0.0013,0.0006997835163084148,0.5157315978787879,0.007849703131143825,0.5249285240909091,0.007202906253920119
10,gs,10,0.024272727272727276,0.004157524957724809,0.01113939393939394,0.0024909459556366658,0.00416969696969697,0.0014800665112992746,0.001215151515151515,0.0005909013208502354,0.540263463030303,0.005513496725507191,0.5356647018181819,0.004492326316460813
11,gs,30,0.027421212121212124,0.00445467120003925,0.010951515151515153,0.0019728645858276377,0.0031272727272727277,0.0014078293472841018,0.001593939393939394,0.0007348219301668794,0.5487295472727273,0.005474211318414378,0.5404266495454546,0.004566843954345105
